site_name,interactions,bookings,unique_users,unique_bookers,segment_name,segment_value,booking_rate,share_of_users,share_of_interactions,gap_from_mean,potential_bookings,posa_continent,user_location_country,is_mobile,is_package,channel,is_family,is_urgent,is_long_stay,day_of_week,time_of_day
,6753,297,255,3834,user_location_country,124,0.043980453131941356,0.00017241915570058298,0.00012164673471197951,-0.01685108047941633,113.79534647749848,,124.0,,,,,,,,
,6829,374,280,4105,user_location_country,125,0.054766437252892076,0.00018932299449475777,0.000123015778372295,-0.00606509635846561,41.418543031961654,,125.0,,,,,,,,
,2134,141,168,1289,user_location_country,126,0.06607310215557638,0.00011359379669685467,3.84413048830689e-05,0.005241568544218693,-11.18550727336269,,126.0,,,,,,,,
,791,27,33,253,user_location_country,127,0.03413400758533502,2.231306720831074e-05,1.4248862306704546e-05,-0.02669752602602267,21.117743086583932,,127.0,,,,,,,,
,48,3,3,25,user_location_country,128,0.0625,2.028460655300976e-06,8.646591538834616e-07,0.0016684663886423132,-0.08008638665483103,,128.0,,,,,,,,
,11092,589,443,6934,user_location_country,129,0.053101334294987375,0.0002995360234327775,0.00019980831947656992,-0.007730199316370312,85.7433708171795,,129.0,,,,,,,,
,70503,4190,2257,45287,user_location_country,130,0.05943009517325504,0.0015260785663381011,0.0012700221734634521,-0.0014014384381026493,98.80561420155108,,130.0,,,,,,,,
,14739,696,480,9713,user_location_country,131,0.04722165682882149,0.0003245537048481562,0.00026550440143934044,-0.013609876782536195,200.59597389780097,,131.0,,,,,,,,
,62,4,5,30,user_location_country,132,0.06451612903225806,3.3807677588349602e-06,1.1168514070994714e-06,0.003684595420900376,-0.2284449160958233,,132.0,,,,,,,,
,592087,30821,24302,326547,user_location_country,133,0.05205485004737479,0.016431883615041443,0.010665696759279107,-0.008776683563982896,5196.560241347941,,133.0,,,,,,,,
,17655,1157,827,11525,user_location_country,134,0.06553384310393656,0.0005591789873113024,0.00031803244503776076,0.004702309492578875,-83.01927409148004,,134.0,,,,,,,,
,392,19,24,203,user_location_country,135,0.04846938775510204,1.622768524240781e-05,7.06138309004827e-06,-0.012362145856255648,4.845961175652214,,135.0,,,,,,,,
,4174,208,146,2495,user_location_country,136,0.04983229516051749,9.871841855798085e-05,7.518931892311603e-05,-0.0109992384508402,45.910821293807,,136.0,,,,,,,,
,2488,104,114,1425,user_location_country,137,0.04180064308681672,7.70815049014371e-05,4.481816614295943e-05,-0.019030890524540968,47.34885562505793,,137.0,,,,,,,,
,22,1,3,10,user_location_country,138,0.045454545454545456,2.028460655300976e-06,3.963021121965866e-07,-0.015376988156812231,0.33829373944986907,,138.0,,,,,,,,
,116,6,11,66,user_location_country,139,0.05172413793103448,7.437689069436913e-06,2.0895929552183658e-06,-0.009107395680323205,1.0564578989174918,,139.0,,,,,,,,
,96,2,2,58,user_location_country,140,0.020833333333333332,1.3523071035339842e-06,1.7293183077669232e-06,-0.03999820027802435,3.8398272266903377,,140.0,,,,,,,,
,45551,2894,3010,25603,user_location_country,141,0.06353318258655134,0.002035222190818646,0.0008205435233030326,0.002701648975193656,-123.06281246904622,,141.0,,,,,,,,
,3748,234,164,2315,user_location_country,142,0.0624332977588047,0.0001108891824897867,6.75154689324003e-05,0.0016017641474470115,-6.003412024631399,,142.0,,,,,,,,
,3073,202,182,1933,user_location_country,143,0.06573381060852587,0.00012305994642159256,5.535619958091412e-05,0.004902276997168185,-15.064697212297833,,143.0,,,,,,,,
,3664,234,294,2277,user_location_country,144,0.0638646288209607,0.00019878914421949566,6.600231541310424e-05,0.003033095209603008,-11.113260847985421,,144.0,,,,,,,,
,28,0,3,13,user_location_country,145,0.0,2.028460655300976e-06,5.043845064320193e-07,-0.06083153361135769,1.7032829411180153,,145.0,,,,,,,,
,3149,246,226,1960,user_location_country,146,0.07812003810733566,0.0001528107026993402,5.67252432412296e-05,0.01728850449597797,-54.44150065783463,,146.0,,,,,,,,
,536,19,32,265,user_location_country,147,0.03544776119402985,2.1636913656543747e-05,9.655360551698655e-06,-0.025383772417327838,13.60570201568772,,147.0,,,,,,,,
,42864,2729,1689,27447,user_location_country,148,0.06366648002986189,0.0011420233489344495,0.0007721406244179313,0.0028349464185042014,-121.5171432827641,,148.0,,,,,,,,
,103193,4304,2029,60871,user_location_country,149,0.041708255404920874,0.001371915556535227,0.0018588910847228345,-0.019123278206436813,1973.388447956834,,149.0,,,,,,,,
,3656,319,231,2476,user_location_country,150,0.08725382932166302,0.00015619147045817518,6.585820555412367e-05,0.026422295710305334,-96.5999131168763,,150.0,,,,,,,,
,1494,79,78,827,user_location_country,151,0.05287817938420348,5.2739977037825385e-05,2.6912516164622745e-05,-0.007953354227154208,11.882311215368386,,151.0,,,,,,,,
,9942,407,268,6385,user_location_country,152,0.04093743713538523,0.00018120915187355387,0.000179092527248112,-0.019894096475972456,197.78710716411817,,152.0,,,,,,,,
,1863,117,73,1180,user_location_country,153,0.06280193236714976,4.9359209278990425e-05,3.3559583410101853e-05,0.001970398755792073,-3.670852882040632,,153.0,,,,,,,,
,198139,10814,4694,124786,user_location_country,154,0.05457784686507956,0.003173864771994261,0.003569222918569067,-0.006253686746278124,1239.0992382208012,,154.0,,,,,,,,
,3805,201,139,2396,user_location_country,155,0.05282522996057819,9.39853436956119e-05,6.854225167763691e-05,-0.008006303650779499,30.463985391215996,,155.0,,,,,,,,
,8504,587,383,5790,user_location_country,156,0.06902634054562559,0.00025896681032675796,0.0001531887800963533,0.008194806934267905,-69.68863816901427,,156.0,,,,,,,,
,3161,108,102,1659,user_location_country,157,0.034166403037013605,6.89676622802332e-05,5.6941408029700463e-05,-0.02666513057434408,84.28847774550164,,157.0,,,,,,,,
,25296,1319,822,16320,user_location_country,158,0.0521426312460468,0.0005557982195524675,0.0004556753740965843,-0.008688902365310884,219.79447423290412,,158.0,,,,,,,,
,86,1,4,14,user_location_country,159,0.011627906976744186,2.7046142070679683e-06,1.5491809840412022e-06,-0.0492036266346135,4.231511890576761,,159.0,,,,,,,,
,138,9,11,64,user_location_country,160,0.06521739130434782,7.437689069436913e-06,2.4858950674149523e-06,0.0043858576929901374,-0.605248361632639,,160.0,,,,,,,,
,176,23,9,140,user_location_country,161,0.13068181818181818,6.0853819659029286e-06,3.170416897572693e-06,0.0698502845704605,-12.293650084401047,,161.0,,,,,,,,
,71893,3795,2526,43942,user_location_country,162,0.0527867803541374,0.001707963871763422,0.0012950612614613273,-0.008044753257220288,578.3614459213381,,162.0,,,,,,,,
,27796,1526,995,16408,user_location_country,163,0.054899985609440205,0.0006727727840081571,0.0005007097050280146,-0.005931548001917482,164.87330826129832,,163.0,,,,,,,,
,45,7,3,31,user_location_country,164,0.15555555555555556,2.028460655300976e-06,8.106179567657454e-07,0.09472402194419788,-4.262580987488905,,164.0,,,,,,,,
,545,6,6,311,user_location_country,165,0.011009174311926606,4.056921310601952e-06,9.817484143051805e-06,-0.04982235929943108,27.15318581818994,,165.0,,,,,,,,
,6388,438,394,3956,user_location_country,166,0.06856606136505948,0.0002664044993961949,0.00011507172239599069,0.007734527753701793,-49.40816329064705,,166.0,,,,,,,,
,252301,10328,7830,130096,user_location_country,167,0.04093523212353498,0.005294282310335548,0.004544882691332318,-0.019896301487822704,5019.856761679156,,167.0,,,,,,,,
,16540,1107,1077,10426,user_location_country,168,0.06692865779927448,0.0007282173752530505,0.00029794713344234285,0.006097124187916796,-100.8464340681438,,168.0,,,,,,,,
,577,37,20,334,user_location_country,169,0.06412478336221837,1.3523071035339841e-05,1.0393923578974113e-05,0.0032932497508606842,-1.9002051062466148,,169.0,,,,,,,,
,223,15,13,155,user_location_country,170,0.06726457399103139,8.789996172970897e-06,4.017062319083582e-06,0.006433040379673703,-1.4345680046672358,,170.0,,,,,,,,
,151,14,16,106,user_location_country,171,0.09271523178807947,1.0818456828271873e-05,2.72007358825839e-06,0.031883698176721785,-4.814438424684989,,171.0,,,,,,,,
,160,15,20,87,user_location_country,172,0.09375,1.3523071035339841e-05,2.882197179611539e-06,0.03291846638864231,-5.26695462218277,,172.0,,,,,,,,
,9539,518,315,5951,user_location_country,173,0.05430338609917182,0.0002129883688066025,0.00017183299310196543,-0.006528147512185868,62.27199911874099,,173.0,,,,,,,,
,2184,120,207,1509,user_location_country,174,0.054945054945054944,0.00013996378521576735,3.9341991501697505e-05,-0.005886478666302743,12.85606940720519,,174.0,,,,,,,,
,628,68,46,451,user_location_country,175,0.10828025477707007,3.110306338128164e-05,1.131262392997529e-05,0.04744872116571238,-29.797796892067375,,175.0,,,,,,,,
,7554,505,338,4882,user_location_country,176,0.06685199894095843,0.00022853990049724333,0.00013607573434240978,0.006020465329600745,-45.47859509980403,,176.0,,,,,,,,
,24281,1304,761,15422,user_location_country,178,0.05370454264651373,0.0005145528528946809,0.0004373914357384236,-0.0071269909648439544,173.05046761737606,,178.0,,,,,,,,
,142585,7526,3922,87994,user_location_country,179,0.052782550759196266,0.0026518742300301427,0.0025684880303431953,-0.008048982852161421,1147.6642199754363,,179.0,,,,,,,,
,8291,577,435,5259,user_location_country,180,0.06959353515860572,0.00029412679501864155,0.00014935185510099542,0.008762001547248037,-72.64575482823348,,180.0,,,,,,,,
,73502,3914,1701,45779,user_location_country,181,0.05325025169383146,0.0011501371915556536,0.0013240453568487958,-0.007581281917526224,557.2393835020125,,181.0,,,,,,,,
,249298,14563,7565,153244,user_location_country,182,0.058416032218469464,0.005115101619117295,0.004490787453017484,-0.0024155013928882224,602.1796662442481,,182.0,,,,,,,,
,2573,116,71,1365,user_location_country,183,0.04508356004663817,4.800690217545644e-05,4.634933339462806e-05,-0.01574797356471952,40.51953598202332,,183.0,,,,,,,,
,531,40,70,286,user_location_country,184,0.07532956685499058,4.733074862368944e-05,9.565291889835794e-06,0.014498033243632892,-7.6984556523690655,,184.0,,,,,,,,
,1990,111,87,1109,user_location_country,185,0.05577889447236181,5.882535900372831e-05,3.5847327421418514e-05,-0.005052639138995875,10.05475188660179,,185.0,,,,,,,,
,1171,99,72,655,user_location_country,186,0.08454312553373185,4.868305572722343e-05,2.109408060828195e-05,0.02371159192237416,-27.76627414110014,,186.0,,,,,,,,
,1070,71,87,700,user_location_country,187,0.06635514018691589,5.882535900372831e-05,1.9274693638652167e-05,0.005523606575558206,-5.91025903584728,,187.0,,,,,,,,
,20897,1434,578,14087,user_location_country,188,0.06862229028090157,0.0003908167529213214,0.00037643296538963954,0.0077907566695438815,-162.8034421234585,,188.0,,,,,,,,
,2033,79,103,1102,user_location_country,189,0.03885882931628136,6.964381583200018e-05,3.662191791343911e-05,-0.021972704295076327,44.67050783189017,,189.0,,,,,,,,
,28616,1842,2221,17515,user_location_country,190,0.06436958344981829,0.0015017370384744894,0.0005154809655735237,0.003538049838460601,-101.24483417738855,,190.0,,,,,,,,
,34874,2160,1729,22828,user_location_country,191,0.0619372598497448,0.0011690694910051294,0.00062821090276108,0.00110572623838711,-38.561096837512075,,191.0,,,,,,,,
,1411,106,91,844,user_location_country,192,0.07512402551381998,6.152997321079628e-05,2.5417376377699258e-05,0.014292491902462297,-20.1667060743743,,192.0,,,,,,,,
,144,13,11,100,user_location_country,193,0.09027777777777778,7.437689069436913e-06,2.593977461650385e-06,0.02944624416642009,-4.240259159964493,,193.0,,,,,,,,
,324767,13382,10743,165771,user_location_country,194,0.041204925377270475,0.007263917606632796,0.005850265821443129,-0.01962660823408721,6374.074676359802,,194.0,,,,,,,,
,352522,20103,7430,220795,user_location_country,195,0.05702622815029984,0.005023820889628751,0.0063502369634438685,-0.0038053054610578466,1341.453891743034,,195.0,,,,,,,,
,4137,199,107,2673,user_location_country,196,0.048102489726855206,7.234843003906815e-05,7.452281082533086e-05,-0.01272904388450248,52.660054550186764,,196.0,,,,,,,,
,3840,246,110,2226,user_location_country,197,0.0640625,7.437689069436912e-05,6.917273231067694e-05,0.0032309663886423076,-12.406910932386461,,197.0,,,,,,,,
,188538,11057,6621,118158,user_location_country,198,0.05864600239739469,0.004476812666249255,0.003396273074060002,-0.0021855312139629976,412.05568401815566,,198.0,,,,,,,,
,147,3,2,105,user_location_country,199,0.02040816326530612,1.3523071035339842e-06,2.6480186587681014e-06,-0.04042337034605156,5.94223544086958,,199.0,,,,,,,,
,3998,196,152,2209,user_location_country,200,0.04902451225612806,0.0001027753398685828,7.201890202554333e-05,-0.011807021355229624,47.20447137820804,,200.0,,,,,,,,
,68,6,5,40,user_location_country,201,0.08823529411764706,3.3807677588349602e-06,1.224933801334904e-06,0.027403760506289378,-1.8634557144276778,,201.0,,,,,,,,
,90792,4986,3385,55422,user_location_country,202,0.0549167327517843,0.002288779772731268,0.0016355027895705678,-0.0059148008595733895,537.0165996423872,,202.0,,,,,,,,
,13,2,5,13,user_location_country,203,0.15384615384615385,3.3807677588349602e-06,2.3417852084343753e-07,0.09301462023479617,-1.2091900630523502,,203.0,,,,,,,,
,35,3,6,20,user_location_country,204,0.08571428571428572,4.056921310601952e-06,6.304806330400241e-07,0.024882752102928028,-0.870896323602481,,204.0,,,,,,,,
,6327135,349919,141183,3688886,user_location_country,205,0.05530449405615654,0.09546138689911925,0.11397531657513409,-0.005527039555201146,34970.32541609761,,205.0,,,,,,,,
,27615,1422,1193,16933,user_location_country,206,0.05149375339489408,0.0008066511872580215,0.000497449219468579,-0.009337780216463608,257.86280067764255,,206.0,,,,,,,,
,347,19,12,234,user_location_country,207,0.05475504322766571,8.113842621203904e-06,6.250765133282525e-06,-0.006076490383691978,2.1085421631411165,,207.0,,,,,,,,
,6730,414,278,4358,user_location_country,208,0.06151560178306092,0.0001879706873912238,0.00012123241886741036,0.000684068171703231,-4.603778795562745,,208.0,,,,,,,,
,26143,1318,681,16517,user_location_country,209,0.0504150250545079,0.0004604605687533216,0.00047093300541615286,-0.010416508556849786,272.318783201724,,209.0,,,,,,,,
,1347,101,65,864,user_location_country,210,0.07498144023756496,4.394998086485448e-05,2.4264497505854642e-05,0.014149906626207277,-19.059924225501202,,210.0,,,,,,,,
,1735,76,26,1045,user_location_country,211,0.04380403458213256,1.7579992345941794e-05,3.125382566641263e-05,-0.017027499029225124,29.54271081570559,,211.0,,,,,,,,
,175,16,8,125,user_location_country,212,0.09142857142857143,5.409228414135937e-06,3.152403165200121e-06,0.03059703781721374,-5.354481618012405,,212.0,,,,,,,,
,541,41,28,407,user_location_country,213,0.07578558225508318,1.893229944947578e-05,9.745429213561517e-06,0.014954048643725494,-8.090140316255493,,213.0,,,,,,,,
,106608,5231,3962,57267,user_location_country,214,0.049067612186702685,0.002678920372100823,0.0019204079807751684,-0.011763921424655002,1254.1281352396204,,214.0,,,,,,,,
,728157,46292,20381,444604,user_location_country,215,0.06357420171748675,0.013780685538563065,0.013116825323214995,0.0027426681061290606,-1997.0929801546183,,215.0,,,,,,,,
,846,69,18,652,user_location_country,216,0.08156028368794327,1.2170763931805857e-05,1.5239617587196011e-05,0.020728750076585582,-17.5365225647914,,216.0,,,,,,,,
,12299,583,330,7809,user_location_country,217,0.04740222782340028,0.0002231306720831074,0.00022155089445026447,-0.01342930578795741,165.16703188608818,,217.0,,,,,,,,
,86610,4373,1995,53910,user_location_country,218,0.050490705461263136,0.0013489263357751493,0.001560169360788471,-0.010340828150094551,895.6191260796891,,218.0,,,,,,,,
,6832,323,234,3822,user_location_country,219,0.04727751756440281,0.00015821993111347614,0.0001230698195694127,-0.01355401604695488,92.60103763279574,,219.0,,,,,,,,
,874,44,28,533,user_location_country,220,0.05034324942791762,1.893229944947578e-05,1.5744002093628033e-05,-0.01048828418344007,9.16676037632662,,220.0,,,,,,,,
,5484,362,258,3640,user_location_country,221,0.06601021152443472,0.00017444761635588397,9.87873083311855e-05,0.00517867791307703,-28.399869675314434,,221.0,,,,,,,,
,6151,394,182,3990,user_location_country,222,0.06405462526418469,0.00012305994642159256,0.0001108024678236911,0.003223091652827005,-19.82523675653891,,222.0,,,,,,,,
,4046,294,319,2349,user_location_country,223,0.0726643598615917,0.00021569298301367048,7.28835611794268e-05,0.011832826250234012,-47.875615008446815,,223.0,,,,,,,,
,290,13,20,143,user_location_country,224,0.04482758620689655,1.3523071035339841e-05,5.223982388045915e-06,-0.016003947404461136,4.64114474729373,,224.0,,,,,,,,
,14500,581,562,8119,user_location_country,225,0.04006896551724138,0.00037999829609304954,0.0002611991194022957,-0.020762568094116307,301.05723736468644,,225.0,,,,,,,,
,4687,423,236,3072,user_location_country,226,0.09024962662684019,0.00015957223821701013,8.443036363024552e-05,0.029418093015482503,-137.8826019635665,,226.0,,,,,,,,
,305,22,17,216,user_location_country,227,0.07213114754098361,1.1494610380038866e-05,5.494188373634496e-06,0.011299613929625925,-3.4463822485359072,,227.0,,,,,,,,
,9658,609,464,5978,user_location_country,228,0.06305653344377718,0.0003137352480198843,0.0001739766272543015,0.002224999832419493,-21.489048381507462,,228.0,,,,,,,,
,56600,3609,2421,35823,user_location_country,229,0.06376325088339223,0.0016369677488278877,0.001019577252287582,0.002931717272034541,-165.93519759715502,,229.0,,,,,,,,
,78867,4564,2216,50682,user_location_country,230,0.05786957789696578,0.0014983562707156545,0.0014206890310276452,-0.002961955714391909,233.6005613269467,,230.0,,,,,,,,
,274433,18911,11821,172126,user_location_country,231,0.06890935128064045,0.007992811135437613,0.0049435626162020845,0.008077817669282762,-2216.8197364342764,,231.0,,,,,,,,
,294,27,30,194,user_location_country,232,0.09183673469387756,2.028460655300976e-05,5.296037317536203e-06,0.03100520108251987,-9.115529118260842,,232.0,,,,,,,,
,1625,57,43,1113,user_location_country,233,0.035076923076923075,2.907460272598066e-05,2.927231510542969e-05,-0.025754610534434612,41.85124211845624,,233.0,,,,,,,,
,2654,149,123,1764,user_location_country,234,0.05614167294649586,8.316688686734002e-05,4.78084457168064e-05,-0.004689860664861829,12.446890204543296,,234.0,,,,,,,,
,100476,4210,2517,60008,user_location_country,235,0.04190055336597794,0.0017018784897975192,0.0018099477738665562,-0.018930980245379744,1902.1091711347751,,235.0,,,,,,,,
,1747,86,67,1008,user_location_country,236,0.04922724670864339,4.530228796838847e-05,3.146999045488349e-05,-0.011604286902714298,20.27268921904188,,236.0,,,,,,,,
,816,73,45,515,user_location_country,237,0.08946078431372549,3.0426909829514642e-05,1.4699205616018848e-05,0.028629250702367805,-23.36146857313213,,237.0,,,,,,,,
,5902,329,242,3779,user_location_country,238,0.055743815655709926,0.00016362915952761208,0.00010631704846292064,-0.005087717955647761,30.027711374233085,,238.0,,,,,,,,
,10229,598,305,6609,user_location_country,239,0.058461237657640046,0.0002062268332889326,0.0001842624684390402,-0.002370295953717641,24.24575731057775,,239.0,,,,,,,,
,47959414,2740136,1113804,28093145,is_mobile,0,0.05713447624693663,0.7511770398821106,0.8639280485413885,0.008683378498035257,-416449.7443059711,,,0.0,,,,,,,
,7553790,300397,368941,4087032,is_mobile,1,0.03976771925086612,0.24882296011788946,0.13607195145861153,-0.00868337849803525,65592.41766467369,,,1.0,,,,,,,
,39380731,2631078,1096280,24931213,is_package,0,0.0668113042391214,0.5965406216041647,0.7093939488702543,0.020715254311363535,-815781.8576323976,,,,0.0,,,,,,
,16132473,409455,741449,7248964,is_package,1,0.025380795616394336,0.4034593783958353,0.29060605112974564,-0.020715254311363535,334188.2808662058,,,,1.0,,,,,,
,6999524,344778,477171,3836920,channel,0,0.049257349499765984,0.1767402116566735,0.1260875520713955,-0.0003144898245166783,2201.279074460278,,,,,0.0,,,,,
,5788547,265242,405137,3142625,channel,1,0.04582186168653377,0.1500594108400337,0.10427333648405522,-0.00374997763774889,21706.921805058424,,,,,1.0,,,,,
,4276318,181629,384927,2295022,channel,2,0.042473221121534926,0.14257379315249324,0.07703244799201285,-0.007098618202747736,30355.948795537795,,,,,2.0,,,,,
,2508862,96680,235144,1361865,channel,3,0.03853539971508995,0.08709540254918433,0.04519396862771603,-0.011036439609192712,27688.903950798445,,,,,3.0,,,,,
,1290733,112862,92459,731143,channel,4,0.08744023744647421,0.03424605273489876,0.02325091882644713,0.037868398122191546,-48877.99111345066,,,,,4.0,,,,,
,3334629,225752,73023,2208412,channel,5,0.06769928528780862,0.027047118277944947,0.06006911436781779,0.01812744596352596,-60448.30700590661,,,,,5.0,,,,,
,95599,2948,11227,44557,channel,6,0.030837142647935648,0.004158388410589649,0.0017220948010855219,-0.018734696676347015,1791.0182675620983,,,,,6.0,,,,,
,466911,12603,64299,244061,channel,7,0.026992296176359093,0.023815820469627134,0.00841080979581002,-0.02257954314792357,10542.637070740142,,,,,7.0,,,,,
,169116,9438,15799,97633,channel,8,0.05580784786773575,0.0058518195866131524,0.003046410363919906,0.006236008543453089,-1054.6088208346127,,,,,8.0,,,,,
,30572616,1788167,939353,18212845,channel,9,0.058489172140192384,0.3479286210610687,0.5507269225534163,0.008917332815909722,-272626.1919250066,,,,,9.0,,,,,
,10349,434,1305,5094,channel,10,0.041936418977679,0.0004833612608728504,0.00018642411632374884,-0.007635420346603659,79.01896516700127,,,,,10.0,,,,,
,43408215,2465604,1130577,25447025,is_family,False,0.056800400569339236,0.6918872640216199,0.7819439677810706,0.004652595061732198,-201960.84674760952,,,,,,False,,,,
,12104989,574929,503471,6733152,is_family,True,0.04749521044587484,0.30811273597838007,0.21805603221892939,-0.004652595061732198,56319.612043722576,,,,,,True,,,,
,43929198,1976855,1126744,24818374,is_urgent,False,0.04500093536877227,0.6210689995210013,0.7913288161137303,-0.023411024419468088,1028427.5271056487,,,,,,,False,,,
,11584006,1063678,687457,7361803,is_urgent,True,0.09182298420770846,0.37893100047899875,0.20867118388626965,0.0234110244194681,-271193.447341265,,,,,,,True,,,
,48646971,2899483,1167893,28725064,is_long_stay,False,0.05960253928245605,0.730070469507076,0.876313516330277,0.019529989887103742,-950074.851668229,,,,,,,,False,,
,6866233,141050,431806,3455113,is_long_stay,True,0.020542559508248556,0.269929530492924,0.12368648366972297,-0.01952998988710375,134097.46105249802,,,,,,,,True,,
,7127475,424116,604097,4187781,day_of_week,Friday,0.05950438268811886,0.1373845410353356,0.12839242714219845,0.004895702120551397,-34893.99447167707,,,,,,,,,Friday,
,8929013,496852,679128,5206594,day_of_week,Monday,0.05564467203709973,0.15444819057907155,0.1608448505332173,0.0010359914695322672,-9250.381299342718,,,,,,,,,Monday,
,6273328,314647,525819,3581025,day_of_week,Saturday,0.05015631256647189,0.11958245444466555,0.1130060516773631,-0.004452368001095573,27931.16484757689,,,,,,,,,Saturday,
,7489412,363762,576344,4242990,day_of_week,Sunday,0.04857016812534816,0.1310729169627882,0.1349122633959301,-0.006038512442219306,45224.90754690657,,,,,,,,,Sunday,
,7900278,451355,639453,4617636,day_of_week,Thursday,0.05713153385235304,0.14542524945276744,0.1423134935609193,0.0025228532847855756,-19931.24230301922,,,,,,,,,Thursday,
,8923200,495299,684427,5179874,day_of_week,Tuesday,0.05550688093957325,0.15565329618785,0.16074013670693552,0.0008982003720057821,-8014.821559481995,,,,,,,,,Tuesday,
,8870498,494502,687857,5164277,day_of_week,Wednesday,0.055746813764007384,0.15643335133752168,0.15979077698343622,0.0011381331964399194,-10095.808242753912,,,,,,,,,Wednesday,
,4583678,236671,361743,2687265,time_of_day,Ночь,0.05163342625725455,0.12285049917152843,0.08256914877404663,-0.0025986615268969657,11911.42767028403,,,,,,,,,,Ночь
,15238687,921015,837592,9011928,time_of_day,Утро,0.060439262254024906,0.28445220861793824,0.2745056293273939,0.006207174469873393,-94589.18890079156,,,,,,,,,,Утро
,19187238,1089266,930461,11180383,time_of_day,День,0.0567703387011721,0.3159911824406817,0.3456337703008459,0.0025382509170205902,-48702.02444859232,,,,,,,,,,День
,16503601,793581,814783,9300601,time_of_day,Вечер,0.048085323924154495,0.27670610976985166,0.2972914515977136,-0.006146763859997018,101443.73818661064,,,,,,,,,,Вечер
